year,ISO3,ADM0_EN,ADM0_PCODE,ADM1_EM,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2023,PSE,State of Palestine,PS,Gaza Strip,PS02,1098618,1127926,2226544,165462,139182,135532,115384,93854,94657,85986,64356,49977,41214,30876,27135,19882,14061,10181,5709,5170,171595,145276,141660,120553,98073,97192,87562,64156,49109,41317,31260,28753,20588,13323,9282,4934,3293,337057,284458,277192,235937,191927,191849,173548,128512,99086,82531,62136,55888,40470,27384,19463,10643,8463
2023,PSE,State of Palestine,PS,West Bank,PS01,1598932,1657974,3256906,202865,185309,172520,160358,147822,138811,123145,97274,80836,72118,61762,50568,39465,26009,17184,11033,11853,210329,195187,181185,166901,153660,147052,130605,99269,81206,74284,64380,53308,41216,26168,16143,9206,7875,413194,380496,353705,327259,301482,285863,253750,196543,162042,146402,126142,103876,80681,52177,33327,20239,19728
